,SMILES,InChIKey
43,Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCCN[C@@H](C)c3ccccc3)cs2)cs1)C(C)O)C(O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1cnc[nH]1,QIMGFXOHTOXMQP-IZSDKEPHSA-N
44,CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12,RQTOOFIXOKYGAN-UHFFFAOYSA-N
45,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,VKHAHZOOUSRJNA-GCNJZUOMSA-N
46,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1,BPFYOAJNDMUVBL-UHFFFAOYSA-N
47,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1N=C(N)N,ARAIBEBZBOPLMB-UFGQHTETSA-N
48,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,YTKUWDBFDASYHO-UHFFFAOYSA-N
49,,
50,O=C(O)c1ccccc1C(c1ccc(O)cc1)c1ccc(O)cc1,FFFPYJTVNSSLBQ-UHFFFAOYSA-N
51,Cc1cc(-n2c(=O)[nH]c(=O)n(C)c2=O)ccc1Oc1ccc(SC(F)(F)F)cc1,OCINXEZVIIVXFU-UHFFFAOYSA-N
52,NC1=NC(=O)N2CC12,BIXBBIPTYBJTRY-UHFFFAOYSA-N
53,Cc1ncc([N+](=O)[O-])n1CC(C)O,KPQZUUQMTUIKBP-UHFFFAOYSA-N
54,Oc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,GEDPQKGMHLHFOZ-UHFFFAOYSA-N
55,O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1CCCCN1CCN(c2ncccn2)CC1,CEIJFEGBUDEYSX-FZDBZEDMSA-N
56,CCCC(=O)OC[C@@H](OC(=O)CCC)[C@@H](OC(=O)CCC)[C@H](Cn1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21)OC(=O)CCC,MJNIWUJSIGSWKK-BBANNHEPSA-N
57,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccccc12,KMPWYEUPVWOPIM-KODHJQJWSA-N
58,O=C(Nc1ccc2c(=O)cc(-c3nn[nH]n3)oc2c1)c1ccc(OCCCCc2ccccc2)cc1,UAJUXJSXCLUTNU-UHFFFAOYSA-N
59,CC1=C(C(=O)OCCN(Cc2ccccc2)c2ccccc2)C(c2cccc([N+](=O)[O-])c2)C(P2(=O)OCC(C)(C)CO2)=C(C)N1,NSVFSAJIGAJDMR-UHFFFAOYSA-N
60,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,WKEMJKQOLOHJLZ-UHFFFAOYSA-N
61,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,MNJVRJDLRVPLFE-UHFFFAOYSA-N
62,CS(=O)(=O)Nc1cc2occ(NC=O)c(=O)c2cc1Oc1ccccc1,ANMATWQYLIFGOK-UHFFFAOYSA-N
63,CCCCCCCCCCCCCCCCCCNC(=O)OC1CCN(C(=O)OC[C@H](COC(=O)N(Cc2cccc[n+]2CC)C(=O)c2ccccc2OC)OC)CC1,HGOAIWZFTWACBD-RRHRGVEJSA-O
64,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc(F)c(C)c3c1c2[C@@H](N)CC3,ZVYVPGLRVWUPMP-FYSMJZIKSA-N
65,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)C=C(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C=CC=CC=C1C,HKVAMNSJSFKALM-DHGBBOBXSA-N
66,O=C(C[C@@H]1NCCC[C@H]1O)Cn1cnc2cc(Br)c(Cl)cc2c1=O,LVASCWIMLIKXLA-LSDHHAIUSA-N
67,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,RRKTZKIUPZVBMF-IBTVXLQLSA-N
68,CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@@H]32,DDNCQMVWWZOMLN-IRLDBZIGSA-N
69,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,HPNSFSBZBAHARI-RUDMXATFSA-N
70,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,MINDHVHHQZYEEK-HBBNESRFSA-N
71,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CCC=C(C)C,OAIJSZIZWZSQBC-GYZMGTAESA-N
72,NC(=O)[C@@H]1CSSCCC(=O)N[C@@H](CCCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N2CCC[C@H]2C(=O)N1,CZKPOZZJODAYPZ-LROMGURASA-N
73,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,SNBUBQHDYVFSQF-HIFRSBDPSA-N
74,NC(=O)c1nc(F)c[nH]c1=O,ZCGNOVWYSGBHAU-UHFFFAOYSA-N
75,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2n1,ZBFDAUIVDSSISP-UHFFFAOYSA-N
76,CCCc1cc(=O)[nH]c(=S)[nH]1,KNAHARQHSZJURB-UHFFFAOYSA-N
77,Cn1cc[nH]c1=S,PMRYVIKBURPHAH-UHFFFAOYSA-N
78,C=CCNC(N)=S,HTKFORQRBXIQHD-UHFFFAOYSA-N
79,CCc1cc(C(N)=S)ccn1,AEOCXXJPGCBFJA-UHFFFAOYSA-N
80,N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1,YTAOBBFIOAEMLL-REQDGWNSSA-N
81,O=C(OC1C[C@@H]2CC3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,UKTAZPQNNNJVKR-AKJUYKBHSA-N
82,NCCC[C@H](N)CC(=O)N[C@H]1CNC(=O)[C@H]([C@H]2C[C@H](O)N=C(N)N2)NC(=O)/C(=C/NC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC1=O,GXFAIFRPOKBQRV-GHXCTMGLSA-N
83,COc1ccc(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1F,WAZQAZKAZLXFMK-UHFFFAOYSA-N
84,O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,VDNLFJGJEQUWRB-UHFFFAOYSA-N
85,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,MFFMDFFZMYYVKS-SECBINFHSA-N
86,O=S(=O)(O)c1ccc2c(N=Nc3ccc(S(=O)(=O)O)c4ccccc34)c(O)c(S(=O)(=O)O)cc2c1,IRPXADUBAQAOKL-UHFFFAOYSA-N
87,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,JRURYQJSLYLRLN-BJMVGYQFSA-N
88,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,NJMYODHXAKYRHW-DVZOWYKESA-N
89,COc1ccc2c(c1)c(CC(=O)OC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,CFIGYZZVJNJVDQ-LMJOQDENSA-N
90,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1,TUESWZZJYCLFNL-DAFODLJHSA-N
91,CC(C)=C/C(C)=N\Nc1nncc2ccccc12,DQGFCLJXYFXXIJ-WJDWOHSUSA-N
92,CC(=O)/N=c1/sc([S+](N)(=O)[O-])nn1C,FQMSRRCSEOMGHZ-QPJJXVBHSA-N
93,Cc1ccsc1/C=C/C1=NCCCN1C,NVEPPWDVLBMNMB-SNAWJCMRSA-N
94,C[C@H]1[C@H](NC(=O)/C(=N/OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,WZPBZJONDBGPKJ-IYZXUIDESA-N
95,Oc1ccc([C@H]2CNCc3c2ccc(O)c3O)cc1O,FULLEMQICAKPOE-SNVBAGLBSA-N
